區域,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月,交易年,交易月,交易日,交易西曆,交易屋齡(years),交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建築完成年,建築完成月,建築完成日,建築完成西曆,today,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,每平方公尺單價,車位類別,車位,車位移轉總面積平方公尺,車位總價元
台北市,信義區,房地(土地+建物),臺北市信義區松隆路301~350號,14.55,商,10201,2013,1,1,2013/1/1,30.6,土地2建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701223,1981,12,23,1981/12/23,2015/9/18,33.27,63.14,0,0,1,無,無,4374944,69290,,無,0,0
台北市,北投區,房地(土地+建物)+車位,臺北市北投區大業路601~650號,38.17,住,10201,2013,1,1,2013/1/1,15.97,土地1建物1車位1,五層，電梯樓梯間,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851021,1996,10,21,1996/10/21,2015/9/18,18.65,183.99,5,2,2,有,有,27500000,149465,坡道平面,有,0,0
台北市,中山區,房地(土地+建物),臺北市中山區敬業三路162巷51~100號,47.09,其他,10201,2013,1,1,2013/1/1,12.34,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890628,2000,6,28,2000/6/28,2015/9/18,15.01,155.3,3,2,1,有,有,7010000,45138,,無,0,0
台北市,中山區,房地(土地+建物),臺北市中山區敬業三路162巷151~200號,43.31,其他,10201,2013,1,1,2013/1/1,12.34,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628,2000,6,28,2000/6/28,2015/9/18,15.01,143.09,3,2,1,有,有,6420000,44867,,無,0,0
台北市,士林區,房地(土地+建物),臺北市士林區延平北路五段51~100號,53,商,10202,2013,2,1,2013/2/1,41.03,土地1建物3車位0,一層，二層，三層，四層，騎樓,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,600625,1971,6,25,1971/6/25,2015/9/18,43.62,429.96,3,2,1,有,無,24910970,57938,,無,0,0
台北市,大安區,房地(土地+建物),臺北市大安區樂利路5巷15弄1~50號,30.42,住,10202,2013,2,1,2013/2/1,30.51,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710226,1982,2,26,1982/2/26,2015/9/18,33.1,105.97,3,2,2,有,無,23550000,222233,,無,0,0
台北市,大安區,房地(土地+建物),臺北市大安區辛亥路一段51~100號,10.72,住,10202,2013,2,1,2013/2/1,21.81,土地3建物1車位0,十九層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,791219,1990,12,19,1990/12/19,2015/9/18,24.41,176.39,3,2,2,有,有,47500000,269290,,無,0,0
台北市,士林區,房地(土地+建物)+車位,臺北市士林區通河西街一段101~150號,20.3,住,10202,2013,2,1,2013/2/1,15.49,土地1建物1車位1,十層，電梯樓梯間,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860517,1997,5,17,1997/5/17,2015/9/18,18.08,137.43,3,2,2,有,無,15050000,109510,升降平面,有,21.98,0
台北市,松山區,房地(土地+建物)+車位,臺北市松山區健康路15巷1~50號,40.77,住,10202,2013,2,1,2013/2/1,15.31,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,860723,1997,7,23,1997/7/23,2015/9/18,17.9,189.39,4,2,2,有,有,38800000,204868,坡道平面,有,0,0
台北市,內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街51~100號,30.58,住,10202,2013,2,1,2013/2/1,8.94,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930107,2004,1,7,2004/1/7,2015/9/18,11.54,168.3,3,2,2,有,有,32320000,192038,坡道平面,有,0,0
